ISO3,Countries and areas,Region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile
PAN,Panama,LAC,Less Developed,20.0,17.0,23.0,31.0,14.0,39.0,27.0,20.0,11.0,1.0
PRY,Paraguay,LAC,Less Developed,26.0,26.0,26.0,37.0,19.0,38.0,30.0,25.0,19.0,12.0
PER,Peru,LAC,Less Developed,16.0,16.0,15.0,21.0,13.0,30.0,17.0,13.0,13.0,4.0
PHL,Philippines,EAP,Less Developed,9.0,4.0,13.0,10.0,8.0,21.0,10.0,9.0,3.0,2.0
MDA,Republic of Moldova,ECA,More Developed,25.0,20.0,30.0,32.0,10.0,60.0,38.0,25.0,8.0,5.0
RWA,Rwanda,SSA,Least Developed,59.0,59.0,58.0,59.0,56.0,72.0,65.0,61.0,53.0,51.0
LCA,Saint Lucia,LAC,Less Developed,17.0,14.0,20.0,17.0,20.0,21.0,23.0,27.0,16.0,0.0
STP,Sao Tome and Principe,SSA,Least Developed,21.0,20.0,22.0,27.0,19.0,42.0,31.0,22.0,12.0,8.0
SEN,Senegal,SSA,Least Developed,55.0,56.0,53.0,69.0,40.0,79.0,62.0,57.0,49.0,33.0
SRB,Serbia,ECA,More Developed,9.0,5.0,12.0,10.0,8.0,23.0,11.0,5.0,7.0,1.0
SLE,Sierra Leone,SSA,Least Developed,36.0,40.0,31.0,54.0,21.0,66.0,55.0,39.0,26.0,15.0
ZAF,South Africa,SSA,Less Developed,16.0,17.0,15.0,15.0,16.0,26.0,14.0,17.0,12.0,7.0
SSD,South Sudan,SSA,Least Developed,60.0,68.0,51.0,66.0,44.0,82.0,77.0,68.0,49.0,38.0
LKA,Sri Lanka,SA,Less Developed,19.0,16.0,23.0,19.0,19.0,31.0,21.0,21.0,12.0,8.0
PSE,State of Palestine,MENA,Less Developed,25.0,16.0,34.0,26.0,25.0,34.0,24.0,32.0,23.0,14.0
